Athlete,Team,hurdle,highjump,shotput,run200m,longjump,javelin,run800m,score,Medal
Jane Flemming,Australia,3.380000000000001,1.8,12.88,3.0199999999999996,6.37,40.28,30.890000000000015,6.351,
Jacqueline Hautenauve,Belgium,2.7200000000000024,1.77,11.81,1,5.99,35.68,29.53,5.734,
Conceição Geremias,Brazil,2.530000000000001,1.71,12.95,1.1099999999999994,5.5,39.64,19.409999999999997,5.508,
Svetla Dimitrova,Bulgaria,3.5200000000000014,1.8,12.02,3.120000000000001,6.19,37.62,27.700000000000017,6.171,
Dong Yuping,China,2.830000000000002,1.86,14.21,1.6099999999999994,6.4,38.6,16.76000000000002,6.087,
Hsu Huei-Ying,Chinese Taipei,1.910000000000002,1.68,10,1.379999999999999,5.47,39.14,26.129999999999995,5.29,
Zuzana Lajbnerová,Czechoslovakia,3.130000000000001,1.83,14.28,1.75,6.11,43.3,27.379999999999995,6.252,
Anke Behmer,East Germany,3.5600000000000023,1.83,14.2,3.509999999999998,6.68,44.54,39.230000000000004,6.858,Bronze
Ines Schulz,East Germany,3.0100000000000016,1.83,13.5,1.9600000000000009,6.33,42.82,37.64,6.411,
Sabine John,East Germany,3.910000000000002,1.8,16.23,2.960000000000001,6.71,42.56,37.290000000000006,6.897,Silver
Ragne Kytölä,Finland,2.450000000000001,1.77,11.66,0.9199999999999982,5.75,39.48,30.079999999999984,5.686,
Satu Ruotsalainen,Finland,2.9700000000000024,1.8,12.32,2,6.08,45.44,26.370000000000005,6.101,
Joanne Mulliner,Great Britain,2.370000000000001,1.71,12.68,1.6899999999999977,6.1,37.75,25.409999999999997,5.746,
Kim Hagger,Great Britain,3.290000000000001,1.8,12.75,1.1400000000000006,6.34,35.78,24.94999999999999,5.975,
Marjon Wijnsma,Netherlands,3.0100000000000016,1.86,13.01,1.5799999999999983,6.34,37.86,31.939999999999998,6.205,
Ji Jeong-Mi,South Korea,2.230000000000002,1.71,10.83,0,5.5,39.26,24.26000000000002,5.289,
Nataliya Shubenkova,Soviet Union,3.2500000000000018,1.74,14.76,2.6799999999999997,6.32,47.46,35.53,6.54,
Remigija Sablovskaitė-Nazarovienė,Soviet Union,3.150000000000002,1.8,15.23,2.6899999999999977,6.25,42.78,31.190000000000026,6.456,
Svetlana Buraga,Soviet Union,3.5100000000000016,1.77,12.62,3.0199999999999996,6.28,39.06,28.690000000000026,6.232,
Corinne Schneider,Switzerland,2.910000000000002,1.86,11.58,1.7399999999999984,6.05,47.5,28.5,6.157,
Cindy Greiner,United States,3.210000000000001,1.8,14.13,2.129999999999999,6.47,38,29.78,6.297,
Jackie Joyner-Kersee,United States,4.070000000000002,1.86,15.8,4.050000000000001,7.27,45.66,34.920000000000016,7.291,Gold
Wendy Brown,United States,2.6900000000000013,1.83,12.69,1.7800000000000011,6.13,44.34,17,5.972,
Sabine Braun,West Germany,3.0500000000000007,1.83,13.16,1.8299999999999983,6.12,44.58,20.609999999999985,6.109,
